model,display_name,seed,selected_epoch,train_loss_at_selected,train_acc_at_selected,train_f1_at_selected,val_loss_at_selected,val_acc_at_selected,val_f1_at_selected,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,params_m,train_time_sec,inference_ms
LSTM,LSTM baseline,43,17,0.0061984386898222,0.9988690476190476,0.9995834180708212,0.6910144004760133,0.8607142857142858,0.8615569619143955,0.8458333333333333,0.8462681420682486,0.8510128751096393,0.8458333333333306,0.595724,358.366226920858,0.0271895027253776
LSTM,LSTM baseline,44,30,0.0022368476291497,0.9998214285714284,0.999940476182383,0.6919030340562348,0.8943452380952381,0.8957403495456492,0.83359375,0.8331823641166535,0.8397329835438249,0.8335937499999974,0.595724,388.1264936029911,0.0693171721650287
LeNet_LSTM,LeNet-LSTM baseline,42,18,0.0240170930374144,0.995297619047619,0.996547425882754,0.4253678763906161,0.9071428571428573,0.9063231808944544,0.8989583333333333,0.8982716566960723,0.9077159035356472,0.8989583333333305,0.331708,321.6942955646664,0.1663486429606564
LeNet_LSTM,LeNet-LSTM baseline,43,11,0.0840841252923351,0.9757142857142858,0.9804525683505032,0.3148896154104953,0.9166666666666666,0.9170950902569216,0.9096354166666668,0.9093569887720326,0.9140400075752612,0.909635416666664,0.331708,325.0195443648845,0.1665133371716365
LeNet_LSTM,LeNet-LSTM baseline,44,15,0.0494918243060093,0.9864285714285714,0.9907159904941596,0.450024272758691,0.911904761904762,0.9135892033404605,0.9041666666666668,0.9047657306121504,0.9103413754169646,0.9041666666666638,0.331708,327.1976210977882,0.1676600164500996
LeNet,LeNet-style CNN,42,18,0.0107581630207243,0.9989880952380952,0.99934519459072,0.6708285158494358,0.8446428571428571,0.8452228222747932,0.8466145833333333,0.8438754520433109,0.8540250029207491,0.8466145833333307,0.073726,377.0022465027869,0.0199334986973553
LeNet,LeNet-style CNN,43,26,0.0050143808481239,0.9996428571428572,0.99970238089875,0.4911249863165245,0.8883928571428571,0.8889785712680345,0.8723958333333334,0.8713907206507137,0.8752437757050201,0.8723958333333305,0.073726,446.4805784728378,0.1124095113482326
LeNet,LeNet-style CNN,44,14,0.0287191584990138,0.9936309523809524,0.9962500538645654,0.5562318963668422,0.8738095238095238,0.8738323498717923,0.8375,0.8357194541745473,0.8435859725248783,0.8374999999999972,0.073726,455.1997997891158,0.1005741592962294
MobileNet_V2,MobileNet_V2,42,13,0.0415052486956119,0.9858333333333332,0.9957731268758472,0.2828145353495886,0.9273809523809524,0.9271529226406018,0.89296875,0.8896481495139733,0.9013971234868388,0.892968749999997,2.26142,1658.242269570008,0.3677630214951932
MobileNet_V2,MobileNet_V2,43,24,0.001705916772286,0.9995833333333334,0.9999999999994992,0.4427196591156348,0.9333333333333332,0.933191939974718,0.91640625,0.9165119600971794,0.9185358482518188,0.916406249999997,2.26142,1774.6409260574728,0.2322547836229205
MobileNet_V2,MobileNet_V2,44,23,0.0009213100089913,0.9997619047619049,0.9999999999994992,0.700843030099266,0.9267857142857144,0.9267959640582728,0.9236979166666668,0.9230946630032816,0.9247628728698124,0.9236979166666636,2.26142,1904.2376174461097,0.3651704697404057
ResNet18,ResNet18,42,23,0.0005851484835147,0.9998214285714284,0.9999999999994992,0.562384121975617,0.924702380952381,0.92458564125844,0.9002604166666667,0.8978534483119556,0.9081042562287543,0.9002604166666637,11.42414,874.0677982196212,0.2505578973796218
ResNet18,ResNet18,43,14,0.005280375984453,0.9983333333333332,0.9999999999994992,0.3747065326533608,0.9386904761904762,0.9387235881632882,0.9028645833333332,0.9021678386815192,0.904385642852393,0.9028645833333304,11.42414,951.595789739862,0.2954098454210907
ResNet18,ResNet18,44,19,0.0005117674171924,0.9999404761904762,0.9999999999994992,0.6065669856549687,0.9345238095238096,0.9350004116826784,0.9307291666666668,0.930046913611429,0.9355367024421458,0.9307291666666636,11.42414,999.567462425679,0.3057240333873778
TCN,TCN baseline,42,23,0.0018529432089555,0.9995833333333334,0.9999999999994992,1.3583889990800382,0.8514880952380952,0.8514074060699279,0.8315104166666667,0.8315761642682457,0.8399183243696631,0.8315104166666641,2.083724,716.7294916119426,0.1337983761914074
TCN,TCN baseline,43,17,0.0045500881473223,0.998452380952381,0.9998214285481508,0.9709273541786484,0.8705357142857143,0.8711534532032402,0.8526041666666667,0.8516048316391572,0.854168553421863,0.8526041666666639,2.083724,871.4381582774222,0.2471734362188726
TCN,TCN baseline,44,22,0.0035261387697287,0.9988690476190476,0.999940476182383,1.4596629447536469,0.8681547619047619,0.8703927376301578,0.8393229166666667,0.839535540743498,0.8439120036096868,0.8393229166666639,2.083724,913.6555902771652,0.2533050486817956
Transformer,Transformer baseline,42,24,0.0050289392471313,0.99875,0.999940476182383,2.38078789712423,0.7032738095238096,0.7019784873751228,0.7252604166666666,0.7183564205879626,0.721458804301141,0.7252604166666644,0.259052,760.2434923648834,0.1214054063893854
Transformer,Transformer baseline,43,26,0.0026239991259007,0.999345238095238,0.9998809523728592,2.2894849630445804,0.7366071428571429,0.7372974821450063,0.7229166666666667,0.7203508830025691,0.7205606842835534,0.7229166666666643,0.259052,848.2690098546445,0.1689049415290355
Transformer,Transformer baseline,44,21,0.0078545114610876,0.9977976190476192,0.9987489655844723,1.801233629425871,0.76875,0.7668193808224756,0.7127604166666667,0.7065450507457571,0.7128839438766819,0.7127604166666645,0.259052,957.9959158655256,0.1963476184755563
