model,category,accuracy,macro_f1,macro_precision,macro_recall,training_seconds,inference_ms,params,params_m,best_epoch,best_val_loss,best_val_acc,best_val_f1,latency_ms_bs1,throughput_sps_bs1,latency_ms_bs32,throughput_sps_bs32
LSTM,temporal,0.83359375,0.8331823641166535,0.8397329835438249,0.8335937499999974,388.1264936029911,0.0693171721650287,595724.0,0.595724,30.0,0.6919030340562348,0.8943452380952381,0.8957403495456492,0.5545774847269058,1803.1745383468576,0.0197906862013041,50528.81895192196
LeNet_LSTM,temporal,0.8989583333333333,0.8982716566960723,0.9077159035356472,0.8989583333333305,321.6942955646664,0.1663486429606564,331708.0,0.331708,18.0,0.4253678763906161,0.9071428571428573,0.9063231808944544,0.944279171526432,1059.0088505113324,0.1714212435763329,5833.582694520038
LeNet_LSTM,temporal,0.9096354166666668,0.9093569887720326,0.9140400075752612,0.909635416666664,325.0195443648845,0.1665133371716365,331708.0,0.331708,11.0,0.3148896154104953,0.9166666666666666,0.9170950902569216,0.7497178018093109,1333.8352078431076,0.1714243501191958,5833.476978647862
LeNet_LSTM,temporal,0.9041666666666668,0.9047657306121504,0.9103413754169646,0.9041666666666638,327.1976210977882,0.1676600164500996,331708.0,0.331708,15.0,0.450024272758691,0.911904761904762,0.9135892033404605,0.939369760453701,1064.543529181752,0.1725129090482369,5796.667655290577
LeNet,cnn,0.8466145833333333,0.8438754520433109,0.8540250029207491,0.8466145833333307,377.0022465027869,0.0199334986973553,73726.0,0.073726,18.0,0.6708285158494358,0.8446428571428571,0.8452228222747932,0.4791054688394069,2087.223096038575,0.0133072677999734,75146.90581352788
LeNet,cnn,0.8723958333333334,0.8713907206507137,0.8752437757050201,0.8723958333333305,446.4805784728378,0.1124095113482326,73726.0,0.073726,26.0,0.4911249863165245,0.8883928571428571,0.8889785712680345,0.4627447016537189,2161.01880027212,0.011248979717493,88896.95111147908
LeNet,cnn,0.8375,0.8357194541745473,0.8435859725248783,0.8374999999999972,455.1997997891158,0.1005741592962294,73726.0,0.073726,14.0,0.5562318963668422,0.8738095238095238,0.8738323498717923,0.4841106757521629,2065.6433540662983,0.0120685732690617,82859.83584849576
MobileNet_V2,cnn,0.89296875,0.8896481495139733,0.9013971234868388,0.892968749999997,1658.242269570008,0.3677630214951932,2261420.0,2.26142,13.0,0.2828145353495886,0.9273809523809524,0.9271529226406018,4.342351872473955,230.2899510145577,0.1408664148766547,7098.924189102268
MobileNet_V2,cnn,0.91640625,0.9165119600971794,0.9185358482518188,0.916406249999997,1774.6409260574728,0.2322547836229205,2261420.0,2.26142,24.0,0.4427196591156348,0.9333333333333332,0.933191939974718,3.180562108755112,314.40983254101747,0.1083668990759179,9227.91007703779
MobileNet_V2,cnn,0.9236979166666668,0.9230946630032816,0.9247628728698124,0.9236979166666636,1904.2376174461097,0.3651704697404057,2261420.0,2.26142,23.0,0.700843030099266,0.9267857142857144,0.9267959640582728,3.0539596267044544,327.44375245035764,0.1029003370786085,9718.14114890674
ResNet18,cnn,0.9002604166666667,0.8978534483119556,0.9081042562287543,0.9002604166666637,874.0677982196212,0.2505578973796218,11424140.0,11.42414,23.0,0.562384121975617,0.924702380952381,0.92458564125844,2.09763091057539,476.7282914064684,0.0706592877395451,14152.421174779844
ResNet18,cnn,0.9028645833333332,0.9021678386815192,0.904385642852393,0.9028645833333304,951.595789739862,0.2954098454210907,11424140.0,11.42414,14.0,0.3747065326533608,0.9386904761904762,0.9387235881632882,2.347103413194418,426.0570686312435,0.089899388840422,11123.54614306748
ResNet18,cnn,0.9307291666666668,0.930046913611429,0.9355367024421458,0.9307291666666636,999.567462425679,0.3057240333873778,11424140.0,11.42414,19.0,0.6065669856549687,0.9345238095238096,0.9350004116826784,2.1001435816287994,476.1579202239279,0.0726813660003244,13758.684722512446
TCN,temporal,0.8315104166666667,0.8315761642682457,0.8399183243696631,0.8315104166666641,716.7294916119426,0.1337983761914074,2083724.0,2.083724,23.0,1.3583889990800382,0.8514880952380952,0.8514074060699279,1.3453023508191109,743.3273266720545,0.0497767882188782,20089.68508781253
TCN,temporal,0.8526041666666667,0.8516048316391572,0.854168553421863,0.8526041666666639,871.4381582774222,0.2471734362188726,2083724.0,2.083724,17.0,0.9709273541786484,0.8705357142857143,0.8711534532032402,1.4045602083206177,711.966631317047,0.0495660194428637,20175.11212803219
TCN,temporal,0.8393229166666667,0.839535540743498,0.8439120036096868,0.8393229166666639,913.6555902771652,0.2533050486817956,2083724.0,2.083724,22.0,1.4596629447536469,0.8681547619047619,0.8703927376301578,1.40003751963377,714.2665721284283,0.0539285200648009,18543.064018786183
Transformer,attention,0.7252604166666666,0.7183564205879626,0.721458804301141,0.7252604166666644,760.2434923648834,0.1214054063893854,259052.0,0.259052,24.0,2.38078789712423,0.7032738095238096,0.7019784873751228,0.7985294423997402,1252.3019777389804,0.0247112632496282,40467.37675440546
Transformer,attention,0.7229166666666667,0.7203508830025691,0.7205606842835534,0.7229166666666643,848.2690098546445,0.1689049415290355,259052.0,0.259052,26.0,2.2894849630445804,0.7366071428571429,0.7372974821450063,0.875915065407753,1141.6632039939666,0.0234826625091955,42584.60894749107
Transformer,attention,0.7127604166666667,0.7065450507457571,0.7128839438766819,0.7127604166666645,957.9959158655256,0.1963476184755563,259052.0,0.259052,21.0,1.801233629425871,0.76875,0.7668193808224756,0.98090797662735,1019.4636233240698,0.0278900773264467,35855.04580339581
