segment,seconds
deep,860.4658442176878
total,860.4658442176878
traditional,0.0
deep,678.1149537786841
total,678.1149537786841
traditional,0.0
deep,1032.5235825777054
total,1032.5235825777054
traditional,0.0
deep,1474.9572617728263
total,1474.9572617728263
traditional,0.0
deep,1200.9708489701152
total,1200.9708489701152
traditional,0.0
deep,588.5996774230152
total,588.5996774230152
traditional,0.0
deep,580.4268324114382
total,580.4268324114382
traditional,0.0
deep,1422.5632148608563
total,1422.5632148608563
traditional,0.0
deep,632.5595915894955
total,632.5595915894955
traditional,0.0
deep,883.1994242612273
total,883.1994242612273
traditional,0.0
deep,868.5503105595708
total,868.5503105595708
traditional,0.0
deep,686.9224495571107
total,686.9224495571107
traditional,0.0
deep,1046.7121870350093
total,1046.7121870350093
traditional,0.0
deep,1526.3687413968146
total,1526.3687413968146
traditional,0.0
deep,1212.795585859567
total,1212.795585859567
traditional,0.0
deep,596.1597446575761
total,596.1597446575761
traditional,0.0
deep,583.7427340801805
total,583.7427340801805
traditional,0.0
deep,1398.022837743163
total,1398.022837743163
traditional,0.0
deep,631.1195381358266
total,631.1195381358266
traditional,0.0
deep,874.813772091642
total,874.813772091642
traditional,0.0
deep,869.8485621716827
total,869.8485621716827
traditional,0.0
deep,682.1459107939154
total,682.1459107939154
traditional,0.0
deep,1043.3262880388647
total,1043.3262880388647
traditional,0.0
deep,1619.2216192837805
total,1619.2216192837805
traditional,0.0
deep,1223.839215684682
total,1223.839215684682
traditional,0.0
deep,586.683055896312
total,586.683055896312
traditional,0.0
deep,590.8432855755091
total,590.8432855755091
traditional,0.0
deep,1648.4062863886356
total,1648.4062863886356
traditional,0.0
deep,625.0699570961297
total,625.0699570961297
traditional,0.0
deep,992.2220790795982
total,992.2220790795982
traditional,0.0
deep,956.2340829838068
total,956.2340829838068
