model,seed,best_config_path,hpo_trial_id,hpo_best_val_f1,hpo_best_val_acc,main_best_val_f1,main_test_macro_f1,config_json
TCN,45,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8491074551526211,0.8491071428571428,0.8097044820075879,0.8461094566188597,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.003, ""num_channels"": 128, ""dropout"": 0.3}"
Transformer,45,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.7260721090914452,0.7273809523809524,0.6994843663787176,0.7462090818442303,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.0003, ""d_model"": 96, ""nhead"": 2, ""num_layers"": 2, ""dim_feedforward"": 192, ""dropout"": 0.2, ""pooling"": ""mean"", ""norm_first"": true}"
LeNet,46,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8700780555716586,0.8699404761904762,0.8877854913165101,0.8474749777650015,"{""lr"": 0.0005, ""batch_size"": 16, ""weight_decay"": 0.0001}"
ResNet18,46,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.927855386750874,0.9282738095238096,0.9334122369626956,0.9118958362224336,"{""lr"": 0.0007, ""batch_size"": 16, ""weight_decay"": 0.0001}"
MobileNet_V2,46,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927849598657493,0.9279761904761904,0.9301353384782862,0.911924484535588,"{""lr"": 0.0006, ""batch_size"": 16, ""weight_decay"": 0.0003}"
EfficientNet_B0,46,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927666501545176,0.9276785714285716,0.94158433934412,0.9130199821428489,"{""lr"": 0.0007, ""batch_size"": 32, ""weight_decay"": 0.001}"
LSTM,46,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.853851172519032,0.8541666666666666,0.8671538139911629,0.8270206429372182,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
GRU,46,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8597778948514966,0.8598214285714286,0.8798676636490496,0.8341190055565487,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
CNN_LSTM,46,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.9330062524222136,0.9330357142857144,0.9327135940736472,0.8790728832203859,"{""lr"": 0.0003, ""batch_size"": 32, ""weight_decay"": 0.0001, ""lstm_hidden"": 128, ""dropout"": 0.5}"
LeNet_LSTM,46,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.9125238886919388,0.9125,0.916535862930005,0.8988833256542407,"{""lr"": 0.0006, ""batch_size"": 64, ""weight_decay"": 0.0001, ""feature_dim"": 128, ""encoder_hidden_dim"": 96, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.3, ""use_last_only"": false, ""bidirectional"": false}"
TCN,46,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8491074551526211,0.8491071428571428,0.8518096929456274,0.8401117605311281,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.003, ""num_channels"": 128, ""dropout"": 0.3}"
Transformer,46,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.7260721090914452,0.7273809523809524,0.7734415262088362,0.6888603184315433,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.0003, ""d_model"": 96, ""nhead"": 2, ""num_layers"": 2, ""dim_feedforward"": 192, ""dropout"": 0.2, ""pooling"": ""mean"", ""norm_first"": true}"
LeNet,47,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8700780555716586,0.8699404761904762,0.8442233353117246,0.8563190119589769,"{""lr"": 0.0005, ""batch_size"": 16, ""weight_decay"": 0.0001}"
ResNet18,47,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.927855386750874,0.9282738095238096,0.921315229760565,0.9508302296544008,"{""lr"": 0.0007, ""batch_size"": 16, ""weight_decay"": 0.0001}"
MobileNet_V2,47,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927849598657493,0.9279761904761904,0.91907767269283,0.9402142118080502,"{""lr"": 0.0006, ""batch_size"": 16, ""weight_decay"": 0.0003}"
EfficientNet_B0,47,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.927666501545176,0.9276785714285716,0.921347014689284,0.9442709073991388,"{""lr"": 0.0007, ""batch_size"": 32, ""weight_decay"": 0.001}"
LSTM,47,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,2,0.853851172519032,0.8541666666666666,0.8214131314859251,0.8615318325458325,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
GRU,47,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8597778948514966,0.8598214285714286,0.8332427033267633,0.8567921749030217,"{""lr"": 0.0006, ""batch_size"": 32, ""weight_decay"": 0.0003, ""input_proj_dim"": 256, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.3, ""use_last_only"": false}"
CNN_LSTM,47,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,3,0.9330062524222136,0.9330357142857144,0.892218015788281,0.9118650413771616,"{""lr"": 0.0003, ""batch_size"": 32, ""weight_decay"": 0.0001, ""lstm_hidden"": 128, ""dropout"": 0.5}"
LeNet_LSTM,47,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.9125238886919388,0.9125,0.8904993102244193,0.907838763109162,"{""lr"": 0.0006, ""batch_size"": 64, ""weight_decay"": 0.0001, ""feature_dim"": 128, ""encoder_hidden_dim"": 96, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.3, ""use_last_only"": false, ""bidirectional"": false}"
TCN,47,/home/yaxin/tacact/outputs_hpo_phase12_full_20260430_183024/final_best_model_configs_with_tuned_transformer.json,1,0.8491074551526211,0.8491071428571428,0.8378692423017293,0.8396089910348633,"{""lr"": 0.0001, ""batch_size"": 16, ""weight_decay"": 0.003, ""num_channels"": 128, ""dropout"": 0.3}"
