model,category,accuracy,macro_f1,macro_precision,macro_recall,training_seconds,inference_ms,params,params_m,best_epoch,best_val_loss,best_val_acc,best_val_f1,latency_ms_bs1,throughput_sps_bs1,latency_ms_bs32,throughput_sps_bs32
EfficientNet_B0,cnn,0.9442708333333332,0.9442709073991388,0.9446962703049996,0.9442708333333304,1316.1795769520104,0.3126177965896204,4045096.0,4.045096,20.0,0.5880974631833235,0.9205357142857142,0.921347014689284,5.984066408127546,167.1104449378774,0.2102424186887219,4756.414077791634
LSTM,temporal,0.86171875,0.8615318325458325,0.8662000766251189,0.8617187499999971,605.8521124217659,0.0332677620463073,595724.0,0.595724,11.0,0.8409177879298416,0.8208333333333333,0.8214131314859251,0.7206333614885807,1387.6682005594969,0.0192991207586601,51815.83205293266
GRU,temporal,0.8572916666666667,0.8567921749030217,0.8630154225334098,0.8572916666666638,594.2777130957693,0.0124922429677098,513292.0,0.513292,9.0,0.8386433235231033,0.8330357142857143,0.8332427033267633,0.7548067346215248,1324.8424452670258,0.0174181075999513,57411.5181147919
CNN_LSTM,temporal,0.9125,0.9118650413771616,0.9152509384851528,0.9124999999999972,1396.2667529173195,0.5666616460075602,11500492.0,11.500492,14.0,0.5534186037425007,0.8922619047619048,0.892218015788281,5.536832641810179,180.6086737115222,0.5622816586401314,1778.4681122597578
LeNet_LSTM,temporal,0.9075520833333334,0.907838763109162,0.9124323335367132,0.9075520833333304,629.4823078196496,0.1743749948218464,331708.0,0.331708,18.0,0.596962176562686,0.8889880952380952,0.8904993102244193,0.690704919397831,1447.796261349663,0.1711630326462909,5842.38304579765
TCN,temporal,0.8390625,0.8396089910348633,0.845917074190802,0.8390624999999972,884.5594209209085,0.0966309511568397,2083724.0,2.083724,12.0,1.3832029297094084,0.8369047619047619,0.8378692423017293,1.0687876865267754,935.6395218677025,0.0358248525299131,27913.58315194782
Transformer,attention,0.7583333333333333,0.7595947402415528,0.7630785317856276,0.7583333333333308,868.263781119138,0.0485568190924823,259052.0,0.259052,19.0,2.2844394196133906,0.7083333333333334,0.7062713558983003,0.7964200340211391,1255.6188409161205,0.0283106096321716,35322.44670788075
LeNet,cnn,0.859375,0.8585807878087692,0.8601057840549061,0.8593749999999972,692.8178453147411,0.0134115573018789,73726.0,0.073726,20.0,0.7094431784715978,0.8357142857142857,0.8330704997380313,0.3894945979118347,2567.429703418783,0.0101683562388643,98344.31214928436
ResNet18,cnn,0.9091145833333332,0.9069691414686432,0.9162533186240442,0.9091145833333304,1022.1377346627414,0.1858716597780585,11424140.0,11.42414,13.0,0.6431792096100347,0.8973214285714286,0.8951131689549765,1.6443037800490856,608.1601296143393,0.0724547746358439,13801.712930941783
MobileNet_V2,cnn,0.9174479166666668,0.9161021311671552,0.9190559959221308,0.9174479166666636,1496.8753963820636,0.5382117757108063,2261420.0,2.26142,25.0,0.6406499781477237,0.8919642857142858,0.8908939104720311,6.798219531774521,147.09733854960885,0.5460662388941273,1831.2796667766208
EfficientNet_B0,cnn,0.91640625,0.915070674986175,0.919718612518272,0.9164062499999972,1210.8833489958197,0.2904829918406904,4045096.0,4.045096,10.0,0.45184395658563,0.8925595238095239,0.8921144794849672,13.522337842732668,73.95170950690539,0.6666964490432292,1499.9329926461917
LSTM,temporal,0.7932291666666667,0.7912038129157425,0.793532726835863,0.7932291666666642,585.0430199168622,0.019266121671535,595724.0,0.595724,18.0,1.2830262732789075,0.7791666666666667,0.7766605251189382,0.6263541616499424,1596.540840992897,0.0198290153639391,50431.14757067525
