model,display_name,seed,selected_epoch,train_loss_at_selected,train_acc_at_selected,train_f1_at_selected,val_loss_at_selected,val_acc_at_selected,val_f1_at_selected,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,params_m,train_time_sec,inference_ms
GRU,GRU baseline,48,20,0.0015467603291784,1.0,0.9999999999994992,1.4597542999240214,0.7785714285714286,0.7759912256028713,0.79609375,0.7943347032654535,0.7999903705092577,0.7960937499999975,0.513292,586.283922387287,0.0118907744763419
CNN_LSTM,CNN-LSTM baseline,48,20,0.0067739684808821,0.9995238095238096,0.9997619045488187,0.7975465273772854,0.8523809523809524,0.8505781812595704,0.86640625,0.8642699306496523,0.8670966156297881,0.8664062499999972,11.500492,1389.9293009713292,0.5793532938696444
LeNet_LSTM,LeNet-LSTM baseline,48,16,0.0208027519908921,0.995297619047619,0.997498583159196,0.7357117359204928,0.8672619047619048,0.8656828345314737,0.8765625,0.8767105027448033,0.8817167740343956,0.8765624999999972,0.331708,623.9824059046805,0.1715457590762525
TCN,TCN baseline,48,23,0.0030977795805249,0.999404761904762,0.999940476182383,1.7186099087407818,0.7735119047619048,0.770943577567767,0.7932291666666667,0.7910270670615319,0.7950407755041119,0.7932291666666641,2.083724,876.1337702888995,0.0761883857194334
Transformer,Transformer baseline,48,21,0.0070659120806625,0.998154761904762,0.9993450667346062,2.7052128727548626,0.6800595238095238,0.6796822633005605,0.6752604166666667,0.6729611321108844,0.67815236685323,0.6752604166666645,0.259052,857.0066976752132,0.0623483560048043
LeNet,LeNet-style CNN,49,15,0.0277481696435383,0.9954166666666666,0.9970823944111264,0.5107639898375228,0.8729166666666667,0.8721679137786328,0.8932291666666666,0.893152645665417,0.893993524459408,0.8932291666666637,0.073726,675.148339625448,0.0135961570776999
ResNet18,ResNet18,49,25,0.0003780095563048,0.9999404761904762,0.9999999999994992,0.433736418813301,0.9375,0.937710579322054,0.9377604166666668,0.9374365853455924,0.9380085342340608,0.9377604166666638,11.42414,1027.761711506173,0.2165331214200705
MobileNet_V2,MobileNet_V2,49,16,0.0176593513928708,0.9947619047619048,0.9993452803688764,0.384784020846564,0.9324404761904762,0.9325590486323888,0.9307291666666668,0.9304258511560368,0.9304296575784612,0.9307291666666636,2.26142,1468.8835975714028,0.3569599648471921
EfficientNet_B0,EfficientNet_B0,49,20,0.0071779364418415,0.9979166666666668,0.999940476182383,0.3704737337979051,0.9455357142857144,0.9452018182675314,0.9315104166666668,0.9313440332628756,0.9316492965193762,0.9315104166666636,4.045096,1192.9351289924234,0.4913078941171989
LSTM,LSTM baseline,49,25,0.0046720091856661,0.9994642857142856,0.99964283583828,0.715362707824291,0.8735119047619048,0.8733079758339813,0.82734375,0.8275703117666953,0.8292635602953925,0.8273437499999973,0.595724,585.0328452587128,0.0371900561731308
GRU,GRU baseline,49,21,0.0015729262715294,1.0,0.9999999999994992,0.7499550998092412,0.8803571428571428,0.8801856379412522,0.8424479166666666,0.8430099684990312,0.8451850125158903,0.842447916666664,0.513292,577.4174919817597,0.0415420450735837
CNN_LSTM,CNN-LSTM baseline,49,25,0.0025334857546147,0.9997619047619049,0.9999999999994992,0.3589428077184406,0.9413690476190476,0.9412053762547076,0.8934895833333333,0.8919874123687261,0.8916913712486153,0.8934895833333304,11.500492,1413.223490981385,0.5613040353637189
LeNet_LSTM,LeNet-LSTM baseline,49,24,0.0192820611958721,0.9960714285714286,0.9975000776747126,0.3919843912102459,0.923809523809524,0.924255269541057,0.89375,0.8940450533180825,0.895908002540521,0.8937499999999972,0.331708,627.8842595145106,0.1900851813843473
TCN,TCN baseline,49,19,0.0048956343318734,0.9986904761904762,0.999940476182383,1.0797403559930503,0.8630952380952381,0.8630703504008471,0.83046875,0.8327495927327871,0.8374309780899551,0.8304687499999973,2.083724,879.6519709229469,0.0944630824960768
Transformer,Transformer baseline,49,22,0.0069814450045426,0.9978571428571428,0.9991066920555116,1.814273926141525,0.7639880952380952,0.7623029252849859,0.70078125,0.70003786157596,0.7029981228796257,0.7007812499999977,0.259052,864.9649319369346,0.0353919982444494
LeNet,LeNet-style CNN,50,18,0.0136709086596965,0.9983928571428572,0.9990473613607466,0.6263456243776697,0.8616071428571429,0.8608023963827306,0.8731770833333333,0.8727412197847592,0.8767022981609108,0.8731770833333306,0.073726,684.3855788111687,0.0136929273139685
ResNet18,ResNet18,50,12,0.0051985526581605,0.9985714285714286,0.999940476182383,0.5185134977698771,0.9145833333333332,0.9142047163003192,0.91875,0.9179788141560524,0.9239130067917216,0.9187499999999972,11.42414,1041.1877784449607,0.6102021259721369
MobileNet_V2,MobileNet_V2,50,16,0.0049154633212657,0.998452380952381,0.9999999999994992,0.4866538357065066,0.930654761904762,0.930220066006596,0.9119791666666668,0.9114758818263762,0.914284376770321,0.9119791666666638,2.26142,1519.1370622329414,0.5891817680094391
EfficientNet_B0,EfficientNet_B0,50,21,0.0040741190101419,0.9988095238095238,0.9998809523652668,0.3908774417103015,0.9303571428571428,0.9306424217512052,0.9166666666666666,0.9157285036165478,0.919070200542402,0.9166666666666636,4.045096,1207.552481552586,0.2698197058634832
LSTM,LSTM baseline,50,25,0.0031457289059956,0.9998809523809524,0.9998214072668516,0.9143317240516592,0.850297619047619,0.8491733257560377,0.83515625,0.8358132546219795,0.8421382241105394,0.8351562499999975,0.595724,593.4311694167554,0.018946491763927
GRU,GRU baseline,50,17,0.0021303425658316,0.9998809523809524,0.9999999999994992,0.8284020241835,0.8580357142857142,0.8576310574282862,0.85078125,0.8514565749565035,0.8566308833074369,0.8507812499999972,0.513292,579.4107655584812,0.0347761175362393
