model,seed,class_id,class_name,precision,recall,f1,support
LeNet,46,10,class_10,0.7982708933717556,0.8656249999999972,0.8305847076456752,320
LeNet,46,11,class_11,0.8600682593856626,0.7874999999999975,0.8221859706357135,320
ResNet18,46,0,class_0,0.8920454545454519,0.9812499999999968,0.9345238095233076,320
ResNet18,46,1,class_1,0.9906542056074736,0.9937499999999968,0.9921996879870164,320
ResNet18,46,2,class_2,0.9420731707317044,0.965624999999997,0.9537037037032008,320
ResNet18,46,3,class_3,0.7331189710610908,0.7124999999999977,0.7226624405700207,320
ResNet18,46,4,class_4,0.990259740259737,0.953124999999997,0.9713375796173316,320
ResNet18,46,5,class_5,0.9785932721712508,0.9999999999999968,0.9891808346208262,320
ResNet18,46,6,class_6,0.6810344827586187,0.7406249999999976,0.709580838322852,320
ResNet18,46,7,class_7,0.8981481481481454,0.909374999999997,0.9037267080740312,320
ResNet18,46,8,class_8,0.9800664451827208,0.921874999999997,0.950080515297404,320
ResNet18,46,9,class_9,0.97852760736196,0.9968749999999968,0.9876160990707042,320
ResNet18,46,10,class_10,0.920886075949364,0.909374999999997,0.9150943396221384,320
ResNet18,46,11,class_11,0.982014388489205,0.8531249999999972,0.9130434782603688,320
MobileNet_V2,46,0,class_0,0.940119760479039,0.9812499999999968,0.96024464831754,320
MobileNet_V2,46,1,class_1,0.996884735202489,0.9999999999999968,0.9984399375970008,320
MobileNet_V2,46,2,class_2,0.9402985074626836,0.9843749999999968,0.9618320610681996,320
MobileNet_V2,46,3,class_3,0.7407407407407384,0.7499999999999976,0.7453416149063298,320
MobileNet_V2,46,4,class_4,0.9719626168224268,0.9749999999999968,0.9734789391570632,320
MobileNet_V2,46,5,class_5,0.9937888198757732,0.9999999999999968,0.996884735201989,320
MobileNet_V2,46,6,class_6,0.7395498392282934,0.7187499999999977,0.7290015847855515,320
MobileNet_V2,46,7,class_7,0.8682432432432402,0.8031249999999974,0.8344155844150822,320
MobileNet_V2,46,8,class_8,0.9804560260586288,0.940624999999997,0.9601275917060362,320
MobileNet_V2,46,9,class_9,0.9813084112149502,0.9843749999999968,0.9828393135720398,320
MobileNet_V2,46,10,class_10,0.8259587020648943,0.8749999999999972,0.8497723823970698,320
MobileNet_V2,46,11,class_11,0.9676375404530712,0.934374999999997,0.9507154213031536,320
EfficientNet_B0,46,0,class_0,0.9561128526645736,0.953124999999997,0.9546165884189024,320
EfficientNet_B0,46,1,class_1,0.9968553459119464,0.9906249999999968,0.9937304075230078,320
EfficientNet_B0,46,2,class_2,0.9811912225705298,0.9781249999999968,0.9796557120495752,320
EfficientNet_B0,46,3,class_3,0.7915057915057884,0.640624999999998,0.7081174438682423,320
EfficientNet_B0,46,4,class_4,0.9905063291139208,0.9781249999999968,0.9842767295592454,320
EfficientNet_B0,46,5,class_5,0.9696969696969668,0.9999999999999968,0.9846153846148816,320
EfficientNet_B0,46,6,class_6,0.6891191709844541,0.8312499999999974,0.7535410764867543,320
EfficientNet_B0,46,7,class_7,0.8835616438356133,0.8062499999999975,0.843137254901459,320
EfficientNet_B0,46,8,class_8,0.9339622641509404,0.928124999999997,0.9310344827581176,320
EfficientNet_B0,46,9,class_9,0.9999999999999968,0.9999999999999968,0.9999999999994968,320
EfficientNet_B0,46,10,class_10,0.8243626062322922,0.909374999999997,0.8647845468048476,320
EfficientNet_B0,46,11,class_11,0.9741935483870936,0.943749999999997,0.9587301587296556,320
LSTM,46,0,class_0,0.8446601941747545,0.8156249999999974,0.8298887122411509,320
LSTM,46,1,class_1,0.8691588785046701,0.8718749999999972,0.8705148205923209,320
LSTM,46,2,class_2,0.8499999999999975,0.9562499999999968,0.8999999999994989,320
LSTM,46,3,class_3,0.6711409395973131,0.624999999999998,0.6472491909380098,320
LSTM,46,4,class_4,0.816720257234724,0.7937499999999975,0.8050713153719222,320
LSTM,46,5,class_5,0.823863636363634,0.9062499999999972,0.8630952380947366,320
LSTM,46,6,class_6,0.5905292479108618,0.6624999999999979,0.6244477172307221,320
LSTM,46,7,class_7,0.9077490774907716,0.7687499999999975,0.8324873096441705,320
LSTM,46,8,class_8,0.9470198675496656,0.8937499999999972,0.9196141479094652,320
LSTM,46,9,class_9,0.8495575221238912,0.8999999999999971,0.8740515933227146,320
LSTM,46,10,class_10,0.8937499999999972,0.8937499999999972,0.8937499999994971,320
LSTM,46,11,class_11,0.895973154362413,0.8343749999999973,0.8640776699024103,320
GRU,46,0,class_0,0.8308157099697859,0.8593749999999972,0.8448540706600196,320
GRU,46,1,class_1,0.9248366013071864,0.8843749999999971,0.9041533546320852,320
GRU,46,2,class_2,0.8235294117647036,0.9624999999999968,0.8876080691637654,320
GRU,46,3,class_3,0.6708074534161469,0.6749999999999978,0.6728971962611799,320
GRU,46,4,class_4,0.8443708609271494,0.7968749999999974,0.8199356913178256,320
GRU,46,5,class_5,0.8297297297297275,0.959374999999997,0.8898550724632681,320
GRU,46,6,class_6,0.6199376947040479,0.621874999999998,0.6209048361929458,320
GRU,46,7,class_7,0.9007633587786223,0.7374999999999976,0.8109965635733852,320
GRU,46,8,class_8,0.9183006535947682,0.8781249999999972,0.8977635782742577,320
GRU,46,9,class_9,0.8964497041420091,0.946874999999997,0.9209726443763973,320
GRU,46,10,class_10,0.898734177215187,0.8874999999999972,0.8930817610057864,320
GRU,46,11,class_11,0.8869863013698599,0.8093749999999974,0.8464052287576681,320
CNN_LSTM,46,0,class_0,0.945859872611462,0.928124999999997,0.9369085173496547,320
CNN_LSTM,46,1,class_1,0.9404761904761876,0.9874999999999968,0.9634146341458388,320
CNN_LSTM,46,2,class_2,0.9285714285714256,0.9749999999999968,0.9512195121946192,320
CNN_LSTM,46,3,class_3,0.6741214057507965,0.6593749999999979,0.6666666666661645,320
CNN_LSTM,46,4,class_4,0.9180327868852428,0.8749999999999972,0.8959999999994973,320
CNN_LSTM,46,5,class_5,0.960960960960958,0.9999999999999968,0.9800918836135858,320
CNN_LSTM,46,6,class_6,0.6783625730994132,0.7249999999999976,0.7009063444103745,320
CNN_LSTM,46,7,class_7,0.898785425101211,0.6937499999999978,0.7830687830682885,320
CNN_LSTM,46,8,class_8,0.8841807909604494,0.9781249999999968,0.928783382788816,320
CNN_LSTM,46,9,class_9,0.9399399399399372,0.9781249999999968,0.9586523736595276,320
CNN_LSTM,46,10,class_10,0.8662790697674393,0.931249999999997,0.897590361445281,320
CNN_LSTM,46,11,class_11,0.9434628975264984,0.8343749999999973,0.8855721393029815,320
LeNet_LSTM,46,0,class_0,0.9488817891373772,0.928124999999997,0.938388625591914,320
LeNet_LSTM,46,1,class_1,0.9968454258675048,0.9874999999999968,0.9921507064359176,320
LeNet_LSTM,46,2,class_2,0.8944281524926659,0.953124999999997,0.9228441754911768,320
LeNet_LSTM,46,3,class_3,0.7290076335877834,0.596874999999998,0.6563573883156538,320
LeNet_LSTM,46,4,class_4,0.925925925925923,0.937499999999997,0.9316770186330372,320
LeNet_LSTM,46,5,class_5,0.975609756097558,0.9999999999999968,0.9876543209871512,320
LeNet_LSTM,46,6,class_6,0.645994832041342,0.7812499999999976,0.7072135785002097,320
LeNet_LSTM,46,7,class_7,0.8864353312302811,0.8781249999999972,0.882260596545808,320
LeNet_LSTM,46,8,class_8,0.911671924290218,0.9031249999999972,0.9073783359492616,320
LeNet_LSTM,46,9,class_9,0.9655172413793072,0.9624999999999968,0.9640062597804046,320
LeNet_LSTM,46,10,class_10,0.9967105263157862,0.946874999999997,0.9711538461533434,320
LeNet_LSTM,46,11,class_11,0.9389067524115724,0.9124999999999972,0.925515055467009,320
TCN,46,0,class_0,0.7570621468926532,0.8374999999999974,0.7952522255187866,320
TCN,46,1,class_1,0.9466666666666634,0.8874999999999972,0.916129032257562,320
TCN,46,2,class_2,0.916666666666664,0.9624999999999968,0.9390243902433998,320
TCN,46,3,class_3,0.6179775280898858,0.6874999999999978,0.6508875739639964,320
TCN,46,4,class_4,0.8604651162790669,0.8093749999999974,0.8341384863118969,320
TCN,46,5,class_5,0.8368983957219228,0.9781249999999968,0.9020172910657828,320
TCN,46,6,class_6,0.670068027210882,0.615624999999998,0.6416938110744173,320
TCN,46,7,class_7,0.8827160493827133,0.8937499999999972,0.8881987577634723,320
TCN,46,8,class_8,0.9009584664536712,0.8812499999999972,0.8909952606630043,320
TCN,46,9,class_9,0.9187499999999972,0.9187499999999972,0.918749999999497,320
TCN,46,10,class_10,0.947194719471944,0.8968749999999971,0.9213483146062388,320
TCN,46,11,class_11,0.8641509433962231,0.7156249999999977,0.7829059829054845,320
Transformer,46,0,class_0,0.6080402010050235,0.7562499999999975,0.6740947075203952,320
Transformer,46,1,class_1,0.6863354037267059,0.6906249999999978,0.688473520248719,320
Transformer,46,2,class_2,0.829131652661062,0.924999999999997,0.8744460856715816,320
Transformer,46,3,class_3,0.5730659025787949,0.624999999999998,0.5979073243642226,320
Transformer,46,4,class_4,0.6999999999999974,0.612499999999998,0.6533333333328332,320
Transformer,46,5,class_5,0.7194029850746246,0.7531249999999976,0.7358778625949177,320
Transformer,46,6,class_6,0.5614035087719278,0.4999999999999984,0.5289256198342106,320
Transformer,46,7,class_7,0.578124999999997,0.3468749999999989,0.4335937499995295,320
Transformer,46,8,class_8,0.9035714285714253,0.7906249999999975,0.8433333333328328,320
Transformer,46,9,class_9,0.8025889967637514,0.7749999999999975,0.788553259140992,320
Transformer,46,10,class_10,0.5816618911174768,0.634374999999998,0.6068759342296933,320
Transformer,46,11,class_11,0.7708333333333313,0.924999999999997,0.8409090909085924,320
