model,seed,selected_epoch,selection_metric,best_val_f1,best_val_acc,best_val_loss,test_accuracy,test_macro_f1,checkpoint_path
GRU,47,9,best_val_f1_max,0.8332427033267633,0.8330357142857143,0.8386433235231033,0.8572916666666667,0.8567921749030217,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/GRU_seed47/subject_seed47/checkpoints/GRU_seed47_best.pt
CNN_LSTM,47,14,best_val_f1_max,0.892218015788281,0.8922619047619048,0.5534186037425007,0.9125,0.9118650413771616,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/CNN_LSTM_seed47/subject_seed47/checkpoints/CNN_LSTM_seed47_best.pt
LeNet_LSTM,47,18,best_val_f1_max,0.8904993102244193,0.8889880952380952,0.596962176562686,0.9075520833333334,0.907838763109162,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_LSTM_seed47/subject_seed47/checkpoints/LeNet_LSTM_seed47_best.pt
TCN,47,12,best_val_f1_max,0.8378692423017293,0.8369047619047619,1.3832029297094084,0.8390625,0.8396089910348633,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/TCN_seed47/subject_seed47/checkpoints/TCN_seed47_best.pt
Transformer,47,19,best_val_f1_max,0.7062713558983003,0.7083333333333334,2.2844394196133906,0.7583333333333333,0.7595947402415528,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/Transformer_seed47/subject_seed47/checkpoints/Transformer_seed47_best.pt
LeNet,48,20,best_val_f1_max,0.8330704997380313,0.8357142857142857,0.7094431784715978,0.859375,0.8585807878087692,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_seed48/subject_seed48/checkpoints/LeNet_seed48_best.pt
ResNet18,48,13,best_val_f1_max,0.8951131689549765,0.8973214285714286,0.6431792096100347,0.9091145833333332,0.9069691414686432,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/ResNet18_seed48/subject_seed48/checkpoints/ResNet18_seed48_best.pt
MobileNet_V2,48,25,best_val_f1_max,0.8908939104720311,0.8919642857142858,0.6406499781477237,0.9174479166666668,0.9161021311671552,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/MobileNet_V2_seed48/subject_seed48/checkpoints/MobileNet_V2_seed48_best.pt
EfficientNet_B0,48,10,best_val_f1_max,0.8921144794849672,0.8925595238095239,0.45184395658563,0.91640625,0.915070674986175,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/EfficientNet_B0_seed48/subject_seed48/checkpoints/EfficientNet_B0_seed48_best.pt
LSTM,48,18,best_val_f1_max,0.7766605251189382,0.7791666666666667,1.2830262732789075,0.7932291666666667,0.7912038129157425,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LSTM_seed48/subject_seed48/checkpoints/LSTM_seed48_best.pt
GRU,48,20,best_val_f1_max,0.7759912256028713,0.7785714285714286,1.4597542999240214,0.79609375,0.7943347032654535,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/GRU_seed48/subject_seed48/checkpoints/GRU_seed48_best.pt
CNN_LSTM,48,20,best_val_f1_max,0.8505781812595704,0.8523809523809524,0.7975465273772854,0.86640625,0.8642699306496523,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/CNN_LSTM_seed48/subject_seed48/checkpoints/CNN_LSTM_seed48_best.pt
LeNet_LSTM,48,16,best_val_f1_max,0.8656828345314737,0.8672619047619048,0.7357117359204928,0.8765625,0.8767105027448033,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_LSTM_seed48/subject_seed48/checkpoints/LeNet_LSTM_seed48_best.pt
TCN,48,23,best_val_f1_max,0.770943577567767,0.7735119047619048,1.7186099087407818,0.7932291666666667,0.7910270670615319,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/TCN_seed48/subject_seed48/checkpoints/TCN_seed48_best.pt
Transformer,48,21,best_val_f1_max,0.6796822633005605,0.6800595238095238,2.7052128727548626,0.6752604166666667,0.6729611321108844,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/Transformer_seed48/subject_seed48/checkpoints/Transformer_seed48_best.pt
LeNet,49,15,best_val_f1_max,0.8721679137786328,0.8729166666666667,0.5107639898375228,0.8932291666666666,0.893152645665417,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_seed49/subject_seed49/checkpoints/LeNet_seed49_best.pt
ResNet18,49,25,best_val_f1_max,0.937710579322054,0.9375,0.433736418813301,0.9377604166666668,0.9374365853455924,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/ResNet18_seed49/subject_seed49/checkpoints/ResNet18_seed49_best.pt
MobileNet_V2,49,16,best_val_f1_max,0.9325590486323888,0.9324404761904762,0.384784020846564,0.9307291666666668,0.9304258511560368,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/MobileNet_V2_seed49/subject_seed49/checkpoints/MobileNet_V2_seed49_best.pt
EfficientNet_B0,49,20,best_val_f1_max,0.9452018182675314,0.9455357142857144,0.3704737337979051,0.9315104166666668,0.9313440332628756,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/EfficientNet_B0_seed49/subject_seed49/checkpoints/EfficientNet_B0_seed49_best.pt
LSTM,49,25,best_val_f1_max,0.8733079758339813,0.8735119047619048,0.715362707824291,0.82734375,0.8275703117666953,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LSTM_seed49/subject_seed49/checkpoints/LSTM_seed49_best.pt
GRU,49,21,best_val_f1_max,0.8801856379412522,0.8803571428571428,0.7499550998092412,0.8424479166666666,0.8430099684990312,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/GRU_seed49/subject_seed49/checkpoints/GRU_seed49_best.pt
CNN_LSTM,49,25,best_val_f1_max,0.9412053762547076,0.9413690476190476,0.3589428077184406,0.8934895833333333,0.8919874123687261,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/CNN_LSTM_seed49/subject_seed49/checkpoints/CNN_LSTM_seed49_best.pt
LeNet_LSTM,49,24,best_val_f1_max,0.924255269541057,0.923809523809524,0.3919843912102459,0.89375,0.8940450533180825,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_LSTM_seed49/subject_seed49/checkpoints/LeNet_LSTM_seed49_best.pt
TCN,49,19,best_val_f1_max,0.8630703504008471,0.8630952380952381,1.0797403559930503,0.83046875,0.8327495927327871,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/TCN_seed49/subject_seed49/checkpoints/TCN_seed49_best.pt
Transformer,49,22,best_val_f1_max,0.7623029252849859,0.7639880952380952,1.814273926141525,0.70078125,0.70003786157596,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/Transformer_seed49/subject_seed49/checkpoints/Transformer_seed49_best.pt
LeNet,50,18,best_val_f1_max,0.8608023963827306,0.8616071428571429,0.6263456243776697,0.8731770833333333,0.8727412197847592,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_seed50/subject_seed50/checkpoints/LeNet_seed50_best.pt
ResNet18,50,12,best_val_f1_max,0.9142047163003192,0.9145833333333332,0.5185134977698771,0.91875,0.9179788141560524,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/ResNet18_seed50/subject_seed50/checkpoints/ResNet18_seed50_best.pt
MobileNet_V2,50,16,best_val_f1_max,0.930220066006596,0.930654761904762,0.4866538357065066,0.9119791666666668,0.9114758818263762,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/MobileNet_V2_seed50/subject_seed50/checkpoints/MobileNet_V2_seed50_best.pt
EfficientNet_B0,50,21,best_val_f1_max,0.9306424217512052,0.9303571428571428,0.3908774417103015,0.9166666666666666,0.9157285036165478,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/EfficientNet_B0_seed50/subject_seed50/checkpoints/EfficientNet_B0_seed50_best.pt
LSTM,50,25,best_val_f1_max,0.8491733257560377,0.850297619047619,0.9143317240516592,0.83515625,0.8358132546219795,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LSTM_seed50/subject_seed50/checkpoints/LSTM_seed50_best.pt
GRU,50,17,best_val_f1_max,0.8576310574282862,0.8580357142857142,0.8284020241835,0.85078125,0.8514565749565035,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/GRU_seed50/subject_seed50/checkpoints/GRU_seed50_best.pt
CNN_LSTM,50,11,best_val_f1_max,0.921310964016668,0.9217261904761904,0.3148749114039154,0.89609375,0.8968722241450976,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/CNN_LSTM_seed50/subject_seed50/checkpoints/CNN_LSTM_seed50_best.pt
LeNet_LSTM,50,15,best_val_f1_max,0.9048752344907972,0.9050595238095238,0.4381371967949062,0.8989583333333333,0.8991619799385813,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_LSTM_seed50/subject_seed50/checkpoints/LeNet_LSTM_seed50_best.pt
TCN,50,14,best_val_f1_max,0.8570105843540029,0.8580357142857142,1.30245332209046,0.8114583333333333,0.8119810273086384,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/TCN_seed50/subject_seed50/checkpoints/TCN_seed50_best.pt
Transformer,50,20,best_val_f1_max,0.7424602850684964,0.7440476190476191,1.9353859404069007,0.7049479166666667,0.7031261184243691,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/Transformer_seed50/subject_seed50/checkpoints/Transformer_seed50_best.pt
LeNet,51,21,best_val_f1_max,0.8626241638594413,0.8651785714285715,0.5629642140731794,0.9005208333333333,0.8999865703690451,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LeNet_seed51/subject_seed51/checkpoints/LeNet_seed51_best.pt
ResNet18,51,21,best_val_f1_max,0.9212905783086192,0.9229166666666668,0.5096208824863917,0.940625,0.9403582553514754,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/ResNet18_seed51/subject_seed51/checkpoints/ResNet18_seed51_best.pt
MobileNet_V2,51,7,best_val_f1_max,0.9122213115601032,0.9125,0.2455926655055615,0.9158854166666668,0.9134616024865628,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/MobileNet_V2_seed51/subject_seed51/checkpoints/MobileNet_V2_seed51_best.pt
EfficientNet_B0,51,20,best_val_f1_max,0.925946525329478,0.9261904761904762,0.4111743951492239,0.9307291666666668,0.93060919742305,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/EfficientNet_B0_seed51/subject_seed51/checkpoints/EfficientNet_B0_seed51_best.pt
LSTM,51,25,best_val_f1_max,0.8453734242702815,0.8494047619047619,0.90497432245805,0.8408854166666667,0.8408440474398264,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/LSTM_seed51/subject_seed51/checkpoints/LSTM_seed51_best.pt
GRU,51,16,best_val_f1_max,0.8614926258014998,0.8627976190476191,0.795031195586004,0.8421875,0.8425126042468909,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/GRU_seed51/subject_seed51/checkpoints/GRU_seed51_best.pt
CNN_LSTM,51,17,best_val_f1_max,0.9001414472608813,0.9011904761904762,0.5079618298918441,0.91875,0.9189416259827228,/home/yaxin/tacact/outputs_main_experiment_rerun_20260506_185627/parallel_workers/CNN_LSTM_seed51/subject_seed51/checkpoints/CNN_LSTM_seed51_best.pt
